White,Asian,Black,Mixed/ Other,Total,Code,Borough,Year,Delete ,Month_Number,Weekly_pay_parttime,Monthly_pay_parttime,weekly_pay_fulltime,Monthly_pay_fulltime,Employees_number,selfemployed_number,fulltime_work_number,parttime_work_number
"160,000","102,000","37,000","41,000","339,000",E09000009,Ealing,2015,53,54,157.6,630.4,561.5,2246,"125,200","38,300","124,700","38,700"
"192,000","31,000","66,000","33,000","321,000",E09000010,Enfield,2015,53,54,183.5,734,565.9,2263.6,"118,800","34,800","109,000","41,400"
"170,000","30,000","51,000","20,000","272,000",E09000011,Greenwich,2015,53,54,191.7,766.8,597.3,2389.2,"116,400","17,700","103,800","30,300"
"145,000","19,000","55,000","48,000","268,000",E09000012,Hackney,2015,53,54,150.4,601.6,602.1,2408.4,"106,900","26,600","101,000","31,500"
"119,000","15,000","23,000","23,000","180,000",E09000013,Hammersmith and Fulham,2015,53,54,171.3,685.2,686.3,2745.2,"79,800","17,900","80,700","17,300"
"164,000","21,000","46,000","36,000","267,000",E09000014,Haringey,2015,53,54,158.3,633.2,576.5,2306,"105,000","31,300","102,500","33,800"
"103,000","106,000","13,000","23,000","245,000",E09000015,Harrow,2015,53,54,171.1,684.4,626.9,2507.6,"96,100","20,000","90,100","25,700"
"217,000","13,000","11,000","7,000","248,000",E09000016,Havering,2015,53,54,188.7,754.8,624.7,2498.8,"101,700","16,200","93,200","24,900"
"159,000","74,000","36,000","24,000","293,000",E09000017,Hillingdon,2015,53,54,172.8,691.2,603.6,2414.4,"124,800","19,100","107,800","36,300"
"128,000","92,000","20,000","23,000","264,000",E09000018,Hounslow,2015,53,54,158,632,560.6,2242.4,"105,000","28,800","109,200","24,400"
